source_genesymbol,target_genesymbol,interaction_type
Ar,Tgfb1i1,->
Dapk3,Ppp1r12a,-|
Tp63,Igfbp7,->
Ar,Sp1,->
Map3k14,Chuk,->
Tp63,Tnfsf4,->
Casp8,Psen1,->
Psen1,Notch1,->
Ripk1,Map3k7,->
Tp63,Itch,->
Casp3,Ctnnb1,->
Ctnnb1,Pitx2,->
Ar,Tnfrsf1b,->
Myc,Dnmt3a,->
Tp63,Runx1,->
Ar,Cebpd,->
Rela,Tnfrsf9,->
Tp53,Dnmt1,-|
Dapk3,Cdc14a,->
Ar,Cdk5,->
Cdk5,Prkn,->
Tp73,E2f1,->
Cdk1,Csnk2a1,->
Ar,Calm2,->
Mycn,Itpr2,->
Ar,Mapkapk2,->
Mapkapk2,Rtn4,->
Tp53,Nfe2l2,->
Mapk1,Txnip,->
Casp6,Satb1,->
Satb1,Nes,->
Casp3,Cdkn1a,->
Tp53,Nr1d1,->
Nr1d1,Nupr1,-|
Bid,Diablo,->
Diablo,Xiap,->
Hdac1,Mafk,-|
Prkca,Hoxb7,->
Il18,Il18r1,->
Ar,Gapdh,->
Casp8ap2,Nfkb1,->
Nfkb1,Fcgrt,->
Tp63,Gdf15,->
Ar,Foxo1,->
Foxo1,Galnt14,-|
Ar,Stat5a,->
Ar,Smad3,-|
Smad3,Egr2,->
Casp3,Mef2a,->
Ar,Dach1,->
Tp63,Gata3,->
Gata3,Gfi1b,->
Ar,Hoxc8,->
Hoxc8,Smad6,-|
Tp53,Csnk2a2,->
Tp53,Tnfrsf11b,->
Sp1,Tnfrsf8,->
Tp53,Litaf,->
Ar,Rora,->
Ar,Tgfb1,->
Tgfb1,Tgfbr3,->
Il18,Il18bp,->
Ar,Nr3c1,->
Nr3c1,Il11,-|
Tp63,Bmal1,->
Bmal1,Klf10,->
Bcl2l1,Becn1,->
Becn1,Pik3c3,->
Ar,Wnt1,->
Tp63,Il1a,->
Il1a,Il1r2,->
Ar,Tgfa,->
Casp3,Stk3,->
Mapk3,Crem,->
Casp6,App,->
App,Dcc,->
Dcc,Dscam,->
Ar,Foxo3,-|
Tp53,Cd40,->
Ripk1,Traf6,->
Tp73,Crebbp,->
Crebbp,Hoxa9,->
Tp53,Tp53bp1,-|
Akt1,Pdcd4,-|
Diablo,Birc5,->
Birc5,Aurkb,->
Aurkb,Wwc1,->
Ar,Gsk3b,->
Gsk3b,Bcl2l12,->
Stat3,Klf11,->
Ar,Sgk1,->
Sgk1,Ndrg2,->
Ar,Prkaa1,->
Src,Eno1,->
Cdk1,Sirt2,-|
Casp3,Parp1,->
Tp53,Gata4,->
Pak2,Myl12b,->
